"Depth","Actinocyclus.curvatulus","Actinocyclus.dimorphus","Actinocyclus.ingens","Actinocyclus.ingens.var..nodus.","Actinocyclus.karstenii.","Actynocyclus.cf..karsteni","Actinocyclus.maccollumii..","Actinocyclus.spp.","Azpeitia.spp.","Chaetoceros.spp...resting.spores.","Chaetoceros.spp.","Cocconeis.spp.","Corethron.criophilum..","Coscinodiscus.spp.","Dactyliosolen.antarcticus.","Denticulopsis.spp..","Eucampia.antarctica.","Fragilariopsis.arcula..","Fragilariopsis.aurica.","Fragilariopsis.barronii..","Fragilariopsis.bohatyi.","Fragilariopsis.curta.","Fragilariopsis.kerguelensis.transitional.form..","Fragilariopsis.praeinterfrigidaria..","Fragilariopsis.interfrigidaria.","Fragilariopsis.ritscheri..","Fragilariopsis.barronii...ritscheri.transtitional.form","Fragilariopsis.clementia.","Fragilariopsis.spp.","Fragilariopsis.sublinearis.","Fragilariopsis.weaveri.","Proboscia.barboi..","Pyxilla.spp..","Rhizosolenia.antennata.var..semispina","Rhizosolenia.antennata.var..antennata","Rhizosolenia.crassa","Rhizosolenia.simplex","Rhizosolenia.sp..B.of.Harwood.and.Maruyama","Rhizosolenia.spp.","Rouxia.antarctica.","Rouxia.diploneides.","Rouxia.isopolica.","Rouxia.naviculoides.","Rouxia.spp.","Shionodiscus.oestrupi...tetraoestrupii.","Stellarima.microtrias.","Stephanopyxis.spp.","Synedropsis.spp.","Synedropsis.cheethamii.","Thalassiosira.complicata","Thalassiosira.fasciculata","Thalassiosira.insigna","Thalassiosira.inura","Thalassiosira.kolbei","Thalassiosira.lentiginosa","Thalassiosira.oliverana.","Thalassiosira.spp.","Thalassiosira.striata","Thalassiosira.torokina.","Thalassiosira.vulnifica","Thalassiothrix.spp."
61.345,0,0,0,0,0.0857988165680473,0,0,0.0118343195266272,0,0.0857988165680473,0,0,0,0,0.0118343195266272,0.0207100591715976,0.0029585798816568,0,0.0029585798816568,0,0.121301775147929,0.0118343195266272,0,0,0,0.0355029585798817,0.0118343195266272,0,0.00591715976331361,0.100591715976331,0,0,0,0,0,0,0,0,0.00591715976331361,0.0473372781065089,0,0,0.00591715976331361,0.0650887573964497,0.0502958579881657,0,0.00591715976331361,0,0,0,0.00887573964497041,0.103550295857988,0.109467455621302,0,0.0236686390532544,0.0207100591715976,0.014792899408284,0,0,0.0029585798816568,0.0266272189349112
61.44,0,0,0.00613496932515337,0,0.049079754601227,0,0,0,0,0.0429447852760736,0,0,0,0,0.0184049079754601,0.0736196319018405,0.00920245398773006,0,0.00306748466257669,0,0.0644171779141104,0.00920245398773006,0,0,0.00920245398773006,0.00306748466257669,0.0122699386503067,0,0.0122699386503067,0.0889570552147239,0.0306748466257669,0,0,0,0,0,0,0,0.00920245398773006,0.0276073619631902,0,0.00613496932515337,0,0.0582822085889571,0.0337423312883436,0.00306748466257669,0.0245398773006135,0.00920245398773006,0,0.00920245398773006,0,0.0705521472392638,0.156441717791411,0,0.0122699386503067,0.00613496932515337,0.0337423312883436,0,0.0644171779141104,0,0.0429447852760736
61.54,0,0,0.00657894736842105,0,0.0592105263157895,0,0,0.00657894736842105,0,0.0657894736842105,0,0,0,0,0,0.0690789473684211,0.0263157894736842,0,0,0.0131578947368421,0.0789473684210526,0,0,0.0131578947368421,0,0.00657894736842105,0.0197368421052632,0,0.0131578947368421,0.0789473684210526,0.00657894736842105,0.00657894736842105,0,0,0,0,0.00657894736842105,0,0,0.00328947368421053,0,0.0263157894736842,0,0.0197368421052632,0.0197368421052632,0.00328947368421053,0.00328947368421053,0,0.0131578947368421,0,0,0.131578947368421,0.151315789473684,0,0,0.0131578947368421,0.0197368421052632,0,0.0789473684210526,0,0.0394736842105263
61.63,0,0,0.0120481927710843,0,0.0783132530120482,0,0,0.0210843373493976,0,0.0662650602409639,0,0,0,0,0,0.0572289156626506,0.0180722891566265,0,0,0,0.0602409638554217,0.00301204819277108,0,0,0,0.0240963855421687,0.00602409638554217,0,0.00602409638554217,0.072289156626506,0.0240963855421687,0.0120481927710843,0,0,0,0,0.00602409638554217,0.00602409638554217,0,0.00602409638554217,0,0.0120481927710843,0,0.0542168674698795,0.0481927710843374,0.0120481927710843,0.0150602409638554,0,0,0,0,0.072289156626506,0.144578313253012,0.0120481927710843,0.0120481927710843,0.0120481927710843,0,0,0.072289156626506,0,0.0542168674698795
61.82,0,0,0,0,0.109510086455331,0,0,0,0,0.069164265129683,0,0,0,0,0,0.069164265129683,0.0230547550432277,0,0.00288184438040346,0,0.0634005763688761,0.0115273775216138,0,0,0,0.0518731988472622,0,0,0,0.0806916426512968,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00576368876080692,0.0461095100864553,0.0230547550432277,0,0,0,0,0.0172910662824208,0.0893371757925072,0.144092219020173,0.0547550432276657,0.0230547550432277,0,0,0,0.0461095100864553,0,0.069164265129683
62.01,0,0,0,0,0.115168539325843,0,0,0,0.0308988764044944,0.0337078651685393,0,0,0,0,0,0.0365168539325843,0.0280898876404494,0,0.0112359550561798,0.0140449438202247,0.0617977528089888,0,0,0.00561797752808989,0.0112359550561798,0.0112359550561798,0.0365168539325843,0,0.0224719101123595,0.0561797752808989,0,0,0,0,0,0,0,0.00561797752808989,0,0.0196629213483146,0,0.00842696629213483,0.0140449438202247,0.00842696629213483,0.0561797752808989,0,0.00561797752808989,0.0140449438202247,0.00280898876404494,0,0.0252808988764045,0.0112359550561798,0.191011235955056,0.00561797752808989,0.0140449438202247,0.0112359550561798,0,0,0.0842696629213483,0,0.047752808988764
62.2,0,0,0.0132890365448505,0,0.12624584717608,0,0,0,0.0398671096345515,0.0564784053156146,0,0,0,0,0,0.053156146179402,0.026578073089701,0,0,0.00664451827242525,0.0863787375415282,0,0,0.0132890365448505,0.00664451827242525,0.00664451827242525,0,0,0,0.0697674418604651,0,0,0,0,0,0,0.0132890365448505,0,0,0.026578073089701,0,0,0,0.0598006644518272,0.053156146179402,0.0132890365448505,0.0132890365448505,0,0,0,0,0.00996677740863787,0.172757475083056,0,0.00332225913621262,0.00332225913621262,0,0,0.079734219269103,0,0.0465116279069767
62.39,0,0,0.0131632736489249,0,0.092142915542474,0,0.00617283950617284,0.00658163682446243,0,0.0658163682446243,0.00329081841223122,0,0,0,0,0.0263265472978497,0.00658163682446243,0,0.00658163682446243,0.0131632736489249,0.092142915542474,0,0,0.0131632736489249,0,0.00658163682446243,0,0,0.0131632736489249,0.0789796418935492,0,0,0,0,0,0,0,0,0,0.00658163682446243,0,0,0,0.092142915542474,0.0789796418935492,0.0131632736489249,0.0131632736489249,0,0,0,0,0.00987245523669365,0.184285831084948,0,0,0.00658163682446243,0.00987245523669365,0,0.0691071866568555,0,0.0723980050690868
62.48,0,0,0.0298913043478261,0,0.0842391304347826,0,0,0,0.0108695652173913,0.016304347826087,0,0,0.00543478260869565,0,0,0.0353260869565217,0.0271739130434783,0,0.0135869565217391,0.0625,0.0625,0,0,0,0,0,0.0244565217391304,0,0.00815217391304348,0.0733695652173913,0,0.0108695652173913,0,0,0,0.00271739130434783,0.0135869565217391,0.0190217391304348,0.00543478260869565,0.0407608695652174,0,0.0135869565217391,0,0.0407608695652174,0.0570652173913043,0,0,0.016304347826087,0.00271739130434783,0,0.0353260869565217,0.0244565217391304,0.127717391304348,0,0.016304347826087,0.0135869565217391,0,0,0.0597826086956522,0,0.046195652173913
64.09,0,0,0,0,0.093167701863354,0,0,0.0186335403726708,0,0.031055900621118,0,0,0.0062111801242236,0,0.0124223602484472,0,0.0372670807453416,0,0.0186335403726708,0.0062111801242236,0.0807453416149068,0,0,0.0124223602484472,0.0527950310559006,0,0.0341614906832298,0,0.0093167701863354,0.0900621118012422,0.015527950310559,0,0,0.0031055900621118,0,0,0.0031055900621118,0,0.0093167701863354,0.0496894409937888,0,0,0.0403726708074534,0.0434782608695652,0.015527950310559,0,0.0062111801242236,0,0.0124223602484472,0,0,0,0.130434782608696,0.0186335403726708,0.0186335403726708,0.0186335403726708,0.0093167701863354,0,0.0062111801242236,0,0.0962732919254658
